name	party	state	id
PROFESSORA MARCIVANIA	PCdoB	Amapá	15
PROFESSORA ROSA NEIDE	PT	Mato Grosso	408
RAFAEL MOTTA	PSB	Rio Grande do Norte	123
RAFAFÁ	PSDB	Paraíba	581
RAIMUNDO COSTA	PL	Bahia	211
RAUL HENRY	MDB	Pernambuco	153
REGINALDO LOPES	PT	Minas Gerais	272
REINHOLD STEPHANES JUNIOR	PSD	Paraná	528
REJANE DIAS	PT	Piauí	116
RENATA ABREU	Podemos	São Paulo	330
RENILDO CALHEIROS	PCdoB	Pernambuco	154
RICARDO BARROS	PP	Paraná	462
RICARDO DA KAROL	PSC	Rio de Janeiro	567
RICARDO GUIDI	PSD	Santa Catarina	485
RICARDO IZAR	PP	São Paulo	383
RICARDO SILVA	PSB	São Paulo	553
RICARDO TEOBALDO	Podemos	Pernambuco	157
ROBERTO ALVES	Republica	São Paulo	387
ROBERTO DE LUCENA	Podemos	São Paulo	385
ROBÉRIO MONTEIRO	PDT	Ceará	105
RODRIGO AGOSTINHO	PSB	São Paulo	384
RODRIGO COELHO	PSB	Santa Catarina	488
RODRIGO DE CASTRO	PSDB	Minas Gerais	268
RODRIGO MAIA	DEM	Rio de Janeiro	322
ROGÉRIO CORREIA	PT	Minas Gerais	262
ROGÉRIO PENINHA MENDONÇA	MDB	Santa Catarina	483
ROMAN	Patriota	Paraná	527
RONALDO CARLETTO	PP	Bahia	216
ROSANA VALLE	PSB	São Paulo	388
ROSANGELA GOMES	Republica	Rio de Janeiro	325
ROSE MODESTO	PSDB	Mato Grosso do Sul	440
ROSSONI	PSDB	Paraná	583
RUBENS BUENO	Cidadania	Paraná	460
RUBENS OTONI	PT	Goiás	425
RUI FALCÃO	PT	São Paulo	390
SAMUEL MOREIRA	PSDB	São Paulo	389
SANDERSON	PSL	Rio Grande do Sul	517
SARGENTO FAHUR	PSD	Paraná	464
SEBASTIÃO OLIVEIRA	Avante	Pernambuco	159
SERGIO SOUZA	MDB	Paraná	467
SERGIO TOLEDO	PL	Alagoas	168
SEVERINO PESSOA	Republica	Alagoas	172
SHÉRIDAN	PSDB	Roraima	8
SIDNEY LEITE	PSD	Amazonas	43
SILAS CÂMARA	Republica	Amazonas	39
SILVIA CRISTINA	PDT	Rondonia	50
SILVIO COSTA FILHO	Republica	Pernambuco	160
SORAYA SANTOS	PL	Rio de Janeiro	328
STEFANO AGUIAR	PSD	Minas Gerais	267
SUBTENENTE GONZAGA	PDT	Minas Gerais	273
SÂMIA BOMFIM	PSOL	São Paulo	391
SÉRGIO BRITO	PSD	Bahia	213
SÓSTENES CAVALCANTE	DEM	Rio de Janeiro	329
TABATA AMARAL	PDT	São Paulo	393
TADEU ALENCAR	PSB	Pernambuco	161
TALÍRIA PETRONE	PSOL	Rio de Janeiro	323
TED CONTI	PSB	Espírito Santo	531
TEREZA NELMA	PSDB	Alagoas	173
TIA ERON	Republica	Bahia	577
TIAGO DIMAS	Solidarie	Tocantins	65
TIAGO MITRAUD	Novo	Minas Gerais	264
TIRIRICA	PL	São Paulo	392
TITO	Avante	Bahia	214
TONINHO WANDSCHEER	PROS	Paraná	470
TOTONHO LOPES	PDT	Ceará	585
TÚLIO GADÊLHA	PDT	Pernambuco	163
ULDURICO JUNIOR	PROS	Bahia	220
VAIDON OLIVEIRA	PROS	Ceará	108
VALDEVAN NOVENTA	PL	Sergipe	183
VALMIR ASSUNÇÃO	PT	Bahia	218
VALTENIR PEREIRA	MDB	Mato Grosso	536
VANDER LOUBET	PT	Mato Grosso do Sul	438
VANDERLEI MACRIS	PSDB	São Paulo	394
VAVÁ MARTINS	Republica	Pará	35
VERMELHO	PSD	Paraná	455
VICENTINHO	PT	São Paulo	396
VICENTINHO JÚNIOR	PL	Tocantins	66
VILSON DA FETAEMG	PSB	Minas Gerais	265
VINICIUS CARVALHO	Republica	São Paulo	397
VINICIUS FARAH	MDB	Rio de Janeiro	324
VINICIUS GURGEL	PL	Amapá	16
VINICIUS POIT	Novo	São Paulo	395
VITOR HUGO	PSL	Goiás	429
VITOR LIPPI	PSDB	São Paulo	399
VIVI REIS	PSOL	Pará	570
WALDENOR PEREIRA	PT	Bahia	219
WALTER ALVES	MDB	Rio Grande do Norte	125
WELITON PRADO	PROS	Minas Gerais	270
WELLINGTON ROBERTO	PL	Paraíba	136
WILSON SANTIAGO	PTB	Paraíba	138
WOLNEY QUEIROZ	PDT	Pernambuco	164
ZECA DIRCEU	PT	Paraná	468
ZÉ CARLOS	PT	Maranhão	86
ZÉ NETO	PT	Bahia	217
ZÉ SILVA	Solidarie	Minas Gerais	271
ZÉ VITOR	PL	Minas Gerais	266
ÁTILA LINS	PP	Amazonas	38
ÁTILA LIRA	PP	Piauí	109
